1001,M1001,2000,2450
1001,M1001,2450,2900
1001,M1001,2900,3380
1001,M1001,3380,3820
1001,M1001,3820,4300
1001,M1001,4300,4790
1001,M1001,4790,5250
1001,M1001,5250,5700
1002,M1002,1500,1950
1002,M1002,1950,2400
1002,M1002,2400,2880
1002,M1002,2880,3320
1002,M1002,3320,3800
1002,M1002,3800,4290
1002,M1002,4290,4750
1002,M1002,4750,5200
1003,M1003,5000,5450
1003,M1003,5450,5900
1003,M1003,5900,6380
1003,M1003,6380,6820
1003,M1003,6820,7300
1003,M1003,7300,7790
1003,M1003,7790,8250
1003,M1003,8250,8700
1004,M1004,3000,3450
1004,M1004,3450,3900
1004,M1004,3900,4380
1004,M1004,4380,4820
1004,M1004,4820,5300
1004,M1004,5300,5790
1004,M1004,5790,6250
1004,M1004,6250,6700
1005,M1005,3035,4000
1005,M1005,4000,4450
1005,M1005,4450,4900
1005,M1005,4900,5380
1005,M1005,5380,5820
1005,M1005,5820,6300
1005,M1005,6300,6790
1005,M1005,6790,7250
1006,M1006,2500,2950
1006,M1006,2950,3400
1006,M1006,3400,3880
1006,M1006,3880,4320
1006,M1006,4320,4800
1006,M1006,4800,5290
1006,M1006,5290,5750
1006,M1006,5750,6200
1002,M1002,5200,7483
1001,M1001,5700,5780
